Tm	Sequence_ID
77.66757424653463	ancestral_65
72.90059351036192	ancestral_66
72.29206941630547	ancestral_67
74.23149921274447	ancestral_68
67.10911008635942	ancestral_69
47.96469417920808	tr|K9VMW1|K9VMW1_9CYAN
59.735927126535536	tr|A0A1C0VNA1|A0A1C0VNA1_9CYAN
69.36791369648937	ancestral_70
67.12101341206295	ancestral_71
65.43969477144643	tr|A0A1J1L9B7|A0A1J1L9B7_PLARU
66.10915110208913	tr|A0A1T4ZGA7|A0A1T4ZGA7_9CYAN
66.563873536528	ancestral_72
67.17869139517543	tr|A0A1J5GKR7|A0A1J5GKR7_9CYAN
65.83005615544982	tr|A0A3C1RNP4|A0A3C1RNP4_9CYAN
74.92771171276897	ancestral_73
74.14002590724455	ancestral_74
67.65243323863805	ancestral_75
69.2463225378214	tr|A0YIJ7|A0YIJ7_LYNSP
67.37449860918358	tr|U7QNU3|U7QNU3_9CYAN
67.61998171207193	tr|A0A0F5Y8Z8|A0A0F5Y8Z8_9CYAN
72.0329280390369	ancestral_76
78.40769967423356	tr|A0A261KL51|A0A261KL51_9CYAN
79.45456450533187	tr|A0A0M1JRP9|A0A0M1JRP9_9CYAN
61.637185817868584	ancestral_77
61.12905008280449	tr|A0A6H2ALR5|A0A6H2ALR5_LIMFS
62.07833409433563	tr|D4ZR96|D4ZR96_ARTPN
70.34316170117751	ancestral_78
70.225734736863	tr|A0A351L0M2|A0A351L0M2_9CYAN
71.7628128700394	tr|A0A350X9Y3|A0A350X9Y3_9CYAN
78.45451514220531	ancestral_79
78.77466386794443	ancestral_80
67.93651639605758	tr|A0A2T1EIJ3|A0A2T1EIJ3_9CHRO
78.40799597815004	ancestral_81
73.20440159058462	ancestral_82
37.11949366258211	tr|A0A372DRQ8|A0A372DRQ8_9CYAN
62.95540872408737	tr|A0A1Z4LUV2|A0A1Z4LUV2_9CYAN
77.19675279109909	ancestral_83
71.54645048931462	tr|A0A1E5QDG0|A0A1E5QDG0_9CYAN
57.62047746636228	tr|A0A1Q8ZFL7|A0A1Q8ZFL7_9CYAN
77.63594319514299	ancestral_84
75.70242415367669	ancestral_85
76.01930995496325	ancestral_86
74.4768840450891	tr|A0A563VT89|A0A563VT89_9CYAN
72.5060191685698	ancestral_87
73.72567925680178	tr|L8M9S8|L8M9S8_9CYAN
73.27058407808244	tr|A0A3M1L1C0|A0A3M1L1C0_9CYAN
62.23984319666724	tr|A0A140KBG3|A0A140KBG3_9CYAN
78.29994761869258	ancestral_88
75.12317978192358	ancestral_89
72.71936291002001	ancestral_90
69.02333534399001	ancestral_91
56.435980516878594	tr|A0A1L9QVW6|A0A1L9QVW6_9CYAN
66.47442943223992	ancestral_92
56.296354673397275	tr|A0A3M1SS59|A0A3M1SS59_9CYAN
52.14029943209117	ancestral_93
52.003200048228834	tr|A0A522XKC5|A0A522XKC5_9CYAN
52.41051198731334	ancestral_94
52.29199654324336	tr|A0A168TPD2|A0A168TPD2_9CYAN
51.87876772349107	tr|A0A0P7Z757|A0A0P7Z757_9CYAN
62.60235689862465	ancestral_95
63.0615845785698	tr|A0A068MUT9|A0A068MUT9_SYNY4
62.33284784868913	ancestral_96
61.074266035772126	tr|P96017|P96017_9SYNC
62.238064182811634	query
69.51877256553068	ancestral_97
67.8682760077348	ancestral_98
63.511223042171196	ancestral_99
64.5334935381853	tr|A0A1Z4RSM1|A0A1Z4RSM1_9CHRO
55.04308853990233	ancestral_100
51.63778973883262	tr|A0A0D6ABG8|A0A0D6ABG8_9CHRO
50.666074863660384	tr|A0A0D6AV98|A0A0D6AV98_9CHRO
64.21874535564787	tr|A0A2T1CW43|A0A2T1CW43_9CYAN
66.82846127577588	ancestral_101
68.1687376936267	ancestral_102
40.74261377103553	tr|A0A6B3M4Z3|A0A6B3M4Z3_9CYAN
70.13470308750674	ancestral_103
69.95867445637538	ancestral_104
58.11973787424094	tr|A0A1Z4R9I8|A0A1Z4R9I8_9CYAN
60.377309334813305	tr|A0A651E8W8|A0A651E8W8_9CYAN
69.38723359910162	tr|A0A3B8JHS0|A0A3B8JHS0_9CYAN
61.467818583731386	tr|A0A1D8TP20|A0A1D8TP20_9CYAN
73.13143044293037	ancestral_105
68.54971598121578	ancestral_106
67.80258636122225	ancestral_107
71.97036976429435	tr|K9V532|K9V532_9CYAN
69.30377484547031	ancestral_108
68.20077393094338	tr|A0A1Q4RJX8|A0A1Q4RJX8_9CYAN
69.09652511631207	tr|A0A2H2Y5W2|A0A2H2Y5W2_9CYAN
65.73058727287055	ancestral_109
63.49620457153187	tr|A0A3D1PFP1|A0A3D1PFP1_9CYAN
59.08701528484613	ancestral_110
58.713397552025796	ancestral_111
58.61362221462443	tr|A0A166K7Y6|A0A166K7Y6_NODSP
57.50225956891226	tr|A0ZBB7|A0ZBB7_NODSP
59.37539416371888	tr|A0A218Q0M8|A0A218Q0M8_9CYAN
71.44003198953158	ancestral_112
65.72169721048272	ancestral_113
66.3957073770289	ancestral_114
64.43426287821057	ancestral_115
63.60615963204471	ancestral_116
62.904485711125595	tr|A0A552PZN1|A0A552PZN1_9CHRO
63.224378097429394	tr|I4GMQ6|I4GMQ6_MICAE
63.00057981552945	ancestral_117
64.71993483030673	tr|A0A6H9H2Z6|A0A6H9H2Z6_MICAE
